
> journey-lite@0.1.0 import:journeylite-blog
> tsx scripts/import-journeylite-blog-to-sanity.ts --create-drafts

[2026-05-21T17:49:56.259Z] Created draft: drafts.jl-blog-insurance-tips-pursuing-weight-loss-surgery-process
[2026-05-21T17:49:57.737Z] Created draft: drafts.jl-blog-interested-in-being-involved-in-a-media-interview-about-surgical-weight-loss-and-diabetes
[2026-05-21T17:49:59.278Z] Created draft: drafts.jl-blog-intra-gastric-balloon-faqs
[2026-05-21T17:50:00.808Z] Created draft: drafts.jl-blog-iron
[2026-05-21T17:50:02.380Z] Created draft: drafts.jl-blog-is-obesity-a-disease-or-merely-a-condition
[2026-05-21T17:50:03.801Z] Created draft: drafts.jl-blog-is-there-a-relationship-between-obesity-and-cancer
[2026-05-21T17:50:05.315Z] Created draft: drafts.jl-blog-is-weight-loss-surgery-tax-deductible
[2026-05-21T17:50:06.822Z] Created draft: drafts.jl-blog-jacks-gastric-sleeve-journey
[2026-05-21T17:50:09.011Z] Created draft: drafts.jl-blog-jamies-gastric-sleeve-vsg-before-and-after-story
[2026-05-21T17:50:10.370Z] Created draft: drafts.jl-blog-jenna-sleeve-success-story
[2026-05-21T17:50:11.883Z] Created draft: drafts.jl-blog-jeremiahs-vsg-before-and-after-story
[2026-05-21T17:50:13.389Z] Created draft: drafts.jl-blog-join-curry-losers
[2026-05-21T17:50:15.094Z] Created draft: drafts.jl-blog-jonathons-gastric-sleeve-vsg-before-and-after-story
[2026-05-21T17:50:16.429Z] Created draft: drafts.jl-blog-journeylite-accepts-most-insurance-plans-for-weight-loss-surgery
[2026-05-21T17:50:17.958Z] Created draft: drafts.jl-blog-journeylite-and-medtronics-new-signia-smart-stapler
[2026-05-21T17:50:19.442Z] Created draft: drafts.jl-blog-journeylite-and-transcarent-inc-partner-to-provide-lower-cost-weight-loss-surgery
[2026-05-21T17:50:20.982Z] Created draft: drafts.jl-blog-journeylite-featured-patient-of-the-month-6-2023
[2026-05-21T17:50:23.157Z] Created draft: drafts.jl-blog-journeylite-featured-patient-of-the-month-july-2023-teresa-t
[2026-05-21T17:50:24.924Z] Created draft: drafts.jl-blog-journeylite-first-cincinnati-sips
[2026-05-21T17:50:26.516Z] Created draft: drafts.jl-blog-journeylite-surgery-center-now-an-optum-center-of-excellence
[2026-05-21T17:50:28.069Z] Created draft: drafts.jl-blog-journeylite-the-trusted-team-for-weight-loss-surgery
[2026-05-21T17:50:30.053Z] Created draft: drafts.jl-blog-journeylite-virtual-support-group-8-29-2023-1230pm
[2026-05-21T17:50:32.062Z] Created draft: drafts.jl-blog-jp-drain-care
[2026-05-21T17:50:33.542Z] Created draft: drafts.jl-blog-justices-vsg-before-and-after-story-with-journeylite
[2026-05-21T17:50:35.073Z] Created draft: drafts.jl-blog-kandaces-vsg-before-and-after-story
[2026-05-21T17:50:36.558Z] Created draft: drafts.jl-blog-kathis-gastric-sleeve-vsg-before-and-after-back-to-the-future
[2026-05-21T17:50:38.837Z] Created draft: drafts.jl-blog-katys-vsg-before-and-after-story
[2026-05-21T17:50:40.180Z] Created draft: drafts.jl-blog-kaylas-vsg-before-and-after-story
[2026-05-21T17:50:42.051Z] Created draft: drafts.jl-blog-kellys-gastric-sleeve-success-story
[2026-05-21T17:50:43.637Z] Created draft: drafts.jl-blog-kristins-gastric-bypass-before-and-after-story
[2026-05-21T17:50:45.206Z] Created draft: drafts.jl-blog-krystals-vsg-before-and-after-story
[2026-05-21T17:50:46.721Z] Created draft: drafts.jl-blog-labs
[2026-05-21T17:50:48.241Z] Created draft: drafts.jl-blog-lantern-weight-loss-surgery-understand-your-options-page-sep-journeylite
[2026-05-21T17:50:49.749Z] Created draft: drafts.jl-blog-leslies-gastric-sleeve-before-and-after-story
[2026-05-21T17:50:51.263Z] Created draft: drafts.jl-blog-linx-procedure-for-reflux-after-gastric-sleeve
[2026-05-21T17:50:53.138Z] Created draft: drafts.jl-blog-live-orbera-gastric-balloon-placement
[2026-05-21T17:50:54.808Z] Created draft: drafts.jl-blog-live-webinar-monday-july-7th
[2026-05-21T17:50:56.385Z] Created draft: drafts.jl-blog-lovenox
[2026-05-21T17:50:57.808Z] Created draft: drafts.jl-blog-low-bmi-lap-band-study
[2026-05-21T17:50:59.300Z] Created draft: drafts.jl-blog-low-carb-cheat-sheet-2
[2026-05-21T17:51:00.826Z] Created draft: drafts.jl-blog-low-carb-cheat-sheet
[2026-05-21T17:51:02.313Z] Created draft: drafts.jl-blog-low-carb-philly-cheese-stuffed-peppers
[2026-05-21T17:51:03.842Z] Created draft: drafts.jl-blog-low-carb-snack-options
[2026-05-21T17:51:05.337Z] Created draft: drafts.jl-blog-low-impact-exercise-for-overweight-patients
[2026-05-21T17:51:06.870Z] Created draft: drafts.jl-blog-macronutrients
[2026-05-21T17:51:08.439Z] Created draft: drafts.jl-blog-making-the-commitment
[2026-05-21T17:51:09.875Z] Created draft: drafts.jl-blog-manage-call-calendar
[2026-05-21T17:51:11.373Z] Created draft: drafts.jl-blog-many-cincinnati-doctors-are-recommending-sleeve-gastrectomy-for-diabetes
[2026-05-21T17:51:12.902Z] Created draft: drafts.jl-blog-meal-logging
[2026-05-21T17:51:14.387Z] Created draft: drafts.jl-blog-meal-prep
[2026-05-21T17:51:15.924Z] Created draft: drafts.jl-blog-medical-weight-loss-consultation-175
[2026-05-21T17:51:17.426Z] Created draft: drafts.jl-blog-medical-weight-loss-what-is-it
[2026-05-21T17:51:18.946Z] Created draft: drafts.jl-blog-menu-guidelines-soft-regular-diets
[2026-05-21T17:51:20.569Z] Created draft: drafts.jl-blog-mild-sleep-apnea-and-weight-loss
[2026-05-21T17:51:21.966Z] Created draft: drafts.jl-blog-mindys-vsg-before-and-after-story
[2026-05-21T17:51:23.470Z] Created draft: drafts.jl-blog-moderate-to-severe-sleep-apnea
[2026-05-21T17:51:24.991Z] Created draft: drafts.jl-blog-modified-pre-op-diet-for-vegans
[2026-05-21T17:51:27.351Z] Created draft: drafts.jl-blog-motivation
